model_name,n_test,cin3_pos_test,cin3_false_negatives_test,mean_cin3_sensitivity_test,mean_cin3_specificity_test,mean_referral_rate_test,folds_meeting_validation_floor
BioMedCLIP_Finetuned,1897,191,139,0.24754862380008752,0.8394732942385117,0.2692470249626391,5
ClinicalOnly_Logistic,1897,191,52,0.6531683480453973,0.4616160729720663,0.6211514389985663,5
ClinicalOnly_XGBoost,1897,191,52,0.7243859697094475,0.42078266521455754,0.5776815689628391,5
ColposcopyOCTText_CrossAttention,1897,191,139,0.2646830847723705,0.8262727110396858,0.19987722813113198,5
ColposcopyOCT_EarlyConcat,1897,191,122,0.2941193028283192,0.7695263421265667,0.288616020475756,5
ColposcopyOCT_LateFusion,1897,191,91,0.42260178346243915,0.7517024039987102,0.3443362787616703,5
ColposcopyOnly_ViT,1897,191,100,0.4233062897290064,0.6102815524407547,0.46653140068240617,5
HyDRA_CoE_Full,1897,191,103,0.32649723666263475,0.8257366839834976,0.2642045633011175,5
OCTOnly_ViT,1897,191,69,0.6242322811848573,0.5345197612759657,0.5913913863629465,5
