model_name,protocol,n,aggregation,operating_point,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,sensitivity,sensitivity_ci_low,sensitivity_ci_high,specificity,specificity_ci_low,specificity_ci_high,ppv,ppv_ci_low,ppv_ci_high,npv,npv_ci_low,npv_ci_high,f1,f1_ci_low,f1_ci_high,referral_rate,referral_rate_ci_low,referral_rate_ci_high,balanced_accuracy,brier,ece,ci_source
BioMedCLIP_Finetuned,strict_loco,1897,pooled_micro,t_safety95,0.6317770550270019,0.6017019410766944,0.6616928368190906,0.3011464937302014,0.2676332104679005,0.3451314417969403,0.9111675126903552,0.8817159868479516,0.9365098722415796,0.1297405189620758,0.1124479187653624,0.1472031522794708,0.2153569286142771,0.1963617866274957,0.2339548013195913,0.8478260869565217,0.7990856655961198,0.8928612956810631,0.3483745754488112,0.3223246319541658,0.3732202982202982,0.8787559304164471,0.8634686346863468,0.8940432261465472,0.5455729826303399,0.33523864077045235,0.3327636545802114,outputs/publishable_v2/step2_main_loco/statistics/bootstrap_ci_all_metrics.csv
ClinicalOnly_Logistic,strict_loco,1897,pooled_micro,t_safety95,0.6931171497951644,0.6652144510592221,0.7225719235089876,0.3661036301409121,0.3298552436267475,0.4134842112767363,0.8934010152284264,0.8618090452261307,0.9223765658193538,0.2395209580838323,0.21928532530722,0.2615298536764128,0.2354515050167224,0.2142845371503908,0.2565151080525166,0.8955223880597015,0.8658528866934239,0.9238859931240988,0.3726839597670725,0.3450846178114296,0.3989605480126111,0.7880864522930944,0.7696362677912494,0.8054823405376911,0.6339697930703736,0.24047296616337288,0.26572324742580794,outputs/publishable_v2/step2_main_loco/statistics/bootstrap_ci_all_metrics.csv
ClinicalOnly_XGBoost,strict_loco,1897,pooled_micro,t_safety95,0.644433636956206,0.61488579239207,0.6740760974009167,0.2854572594037906,0.2558602677460518,0.3230176051831057,0.8578680203045685,0.8217821782178217,0.8918918918918919,0.2934131736526946,0.2702155707196029,0.3168807523798045,0.2414285714285714,0.2197718351907283,0.2630145166132659,0.8873239436619719,0.8595379177711939,0.914852538445334,0.3768115942028985,0.3484650910426427,0.4037001795310763,0.7380073800738007,0.7179757511860833,0.757511860832894,0.6066293808322442,0.1865236010654927,0.1273059004861255,outputs/publishable_v2/step2_main_loco/statistics/bootstrap_ci_all_metrics.csv
ColposcopyOCTText_CrossAttention,strict_loco,1897,pooled_micro,t_safety95,0.6264653434248255,0.5969275976135626,0.654216192321757,0.2872846298180258,0.2555340156846706,0.3261364034369528,0.8883248730964467,0.8557123981092046,0.9185750636132316,0.1616766467065868,0.1431464548720809,0.1813357568700619,0.217391304347826,0.19863554276346,0.2365328370990053,0.8466898954703833,0.80253707996669,0.8873251454117195,0.3493013972055888,0.323856659415035,0.3746343230175769,0.8487084870848709,0.8323668950975224,0.8645229309435951,0.5201314798491005,0.37651104803387336,0.3677588337919327,outputs/publishable_v2/step2_main_loco/statistics/bootstrap_ci_all_metrics.csv
ColposcopyOCT_EarlyConcat,strict_loco,1897,pooled_micro,t_safety95,0.6116835702537397,0.5826370509442788,0.6409842938786565,0.2761073914544263,0.2433284738732626,0.3148259069899344,0.9060913705583756,0.8766673152872669,0.9334975369458128,0.1370592149035263,0.1194835221913913,0.1545202248172631,0.2158403869407497,0.1970752534590478,0.2351234364347083,0.8477366255144033,0.7992252701859688,0.8911290322580645,0.3486328125,0.3231519548667225,0.3734638820894745,0.8719030047443331,0.8571428571428571,0.8866631523458092,0.5455476525797812,0.3416520104643135,0.33178981002683194,outputs/publishable_v2/step2_main_loco/statistics/bootstrap_ci_all_metrics.csv
ColposcopyOCT_LateFusion,strict_loco,1897,pooled_micro,t_safety95,0.5623794711760912,0.5303888862674007,0.5956948108593908,0.2619460682783873,0.2311664726933509,0.3009611528245138,0.9390862944162436,0.9140610603501228,0.9613425137031042,0.0825016633399867,0.068915777696969,0.0959389573617588,0.2115494568324757,0.1931110418816566,0.2305502764681035,0.8378378378378378,0.7771410373066424,0.8940478966514317,0.3453103126458236,0.3204148497230867,0.3704421342764188,0.9219820769636268,0.9098576700052716,0.933579335793358,0.5544427220010064,0.2763365610243526,0.2836698559456548,outputs/publishable_v2/step2_main_loco/statistics/bootstrap_ci_all_metrics.csv
ColposcopyOnly_ViT,strict_loco,1897,pooled_micro,t_safety95,0.5178323555933818,0.4841804442420186,0.5486674957769916,0.2225552893434349,0.1975546051836758,0.2534995650354663,0.8730964467005076,0.838459595959596,0.9047619047619048,0.1603459747172322,0.1418368294453488,0.1790696771709292,0.2141967621419676,0.1951196788365399,0.2333144575850907,0.8281786941580757,0.781798871063577,0.8683428968120532,0.344,0.3179993670886076,0.3695654823733915,0.8465998945703743,0.8297311544544017,0.8629414865577227,0.513449412511694,0.37791226484519935,0.37555306497284074,outputs/publishable_v2/step2_main_loco/statistics/bootstrap_ci_all_metrics.csv
HyDRA_CoE_Full,strict_loco,1897,pooled_micro,t_safety95,0.6361895498343415,0.6044079544215432,0.6668584281616544,0.3247328318698821,0.2864220339430799,0.371375064420279,0.9289340101522844,0.9028410904019571,0.9518987341772152,0.1290751829673985,0.112934202444242,0.1463414634146341,0.2185074626865671,0.1995191581015719,0.2374206261101243,0.8738738738738738,0.8284518828451883,0.9142889317889318,0.3537941034316095,0.3284812158595747,0.3784836202416243,0.8829731154454402,0.8682129678439642,0.8966789667896679,0.5712863612875771,0.28530723803931496,0.27970799041979055,outputs/publishable_v2/step2_main_loco/statistics/bootstrap_ci_all_metrics.csv
OCTOnly_ViT,strict_loco,1897,pooled_micro,t_safety95,0.5971044374871238,0.5684275265698436,0.6279921444106662,0.2839685826998213,0.2502701072513492,0.3236952614463876,0.9213197969543148,0.8956743002544529,0.9468382970150756,0.2062541583499667,0.1845426533328842,0.2261517599034276,0.2332904884318766,0.2133665388181394,0.2533923785402651,0.9090909090909092,0.8780452353942144,0.937504426345609,0.3723076923076923,0.345778818599205,0.3977900552486187,0.8202424881391671,0.8033605693199789,0.838165524512388,0.5515314548567839,0.34499945805014304,0.3412595866264443,outputs/publishable_v2/step2_main_loco/statistics/bootstrap_ci_all_metrics.csv
