variant,model_name,n,auroc,auprc,brier,ece,accuracy,sensitivity,specificity,ppv,npv,f1,balanced_accuracy,referral_rate,tp,fp,tn,fn
clinical_only,ClinicalOnly_Logistic,1897,0.6931171497951644,0.3661036301409121,0.24047296616337288,0.26572324795295604,0.569847127042699,0.7436548223350253,0.5242847638057219,0.2906746031746032,0.8863892013498312,0.41797432239657634,0.6339697930703736,0.5313653136531366,293,715,788,101
clinical_only,ClinicalOnly_XGBoost,1897,0.644433636956206,0.28545725940379063,0.1865236010654927,0.1273059004861255,0.5250395361096468,0.7461928934010152,0.46706586826347307,0.2684931506849315,0.8753117206982544,0.3948959032907992,0.6066293808322442,0.577227200843437,294,801,702,100
colposcopy_only,ColposcopyOnly_ViT,1897,0.5178323555933818,0.22255528934343494,0.37791226484519935,0.3755530770626505,0.5687928307854507,0.41878172588832485,0.6081170991350632,0.21883289124668434,0.799650043744532,0.2874564459930314,0.513449412511694,0.3974696889826041,165,589,914,229
hydra_full,HyDRA_CoE_Full,1897,0.6361895498343415,0.3247328318698821,0.28530723803931496,0.27970799041979055,0.7554032683183974,0.2563451776649746,0.8862275449101796,0.3713235294117647,0.8196923076923077,0.3033033033033033,0.5712863612875771,0.143384290985767,101,171,1332,293
image_text_feature_cache,BioMedCLIP_Finetuned,1897,0.6317770550270019,0.3011464937302014,0.33523864077045235,0.3327636639584387,0.7443331576172905,0.20558375634517767,0.8855622089155023,0.3201581027667984,0.809610705596107,0.250386398763524,0.5455729826303399,0.13336847654190828,81,172,1331,313
oct_colposcopy,ColposcopyOCT_EarlyConcat,1897,0.6116835702537397,0.2761073914544263,0.3416520104643135,0.33178982821343156,0.7116499736425935,0.2614213197969543,0.8296739853626082,0.28690807799442897,0.8107932379713915,0.2735723771580345,0.5455476525797812,0.18924617817606748,103,256,1247,291
oct_colposcopy,ColposcopyOCT_LateFusion,1897,0.5623794711760912,0.2619460682783873,0.2763365610243526,0.2836698559456548,0.6916183447548762,0.3197969543147208,0.7890884896872921,0.28442437923250563,0.8156808803301238,0.3010752688172043,0.5544427220010064,0.2335266209804955,126,317,1186,268
oct_colposcopy_clinical,ColposcopyOCTText_CrossAttention,1897,0.6264653434248255,0.2872846298180258,0.37651104803387336,0.36775884618665977,0.77227200843437,0.08883248730964467,0.9514304723885563,0.32407407407407407,0.7993292342090553,0.1394422310756972,0.5201314798491005,0.05693199789140749,35,73,1430,359
oct_only,OCTOnly_ViT,1897,0.5971044374871238,0.28396858269982134,0.34499945805014304,0.3412596222736609,0.5208223510806537,0.6040609137055838,0.499001996007984,0.2401614530776993,0.8278145695364238,0.3436823104693141,0.5515314548567839,0.522403795466526,238,753,750,156
