condition,dropout_rate,center,n,n_positive,auroc,auprc,brier,ece,threshold,sensitivity,specificity,ppv,npv,f1,balanced_accuracy,referral_rate,true_positive,false_positive,true_negative,false_negative,cin3_sensitivity,cin3_specificity,cin3_false_negatives,cin3_referral_rate
random_modality_dropout_10,0.1,十堰市人民医院,2480,140,0.6733913308913309,0.17385785990858396,0.1430413341977663,0.190929189751145,0.8821881985017164,0.14285714285714285,0.9811965811965812,0.3125,0.9503311258278145,0.19607843137254902,0.562026862026862,0.025806451612903226,20,44,2296,120,0.15,0.9788617886178862,17,0.02217741935483871
random_modality_dropout_10,0.1,恩施州中心医院,2030,650,0.7238684503901895,0.5961649821368677,0.2177127369176522,0.1504900220387351,0.8964351083780716,0.2692307692307692,0.9630434782608696,0.7743362831858407,0.7366962305986696,0.3995433789954338,0.6161371237458194,0.11133004926108374,175,51,1329,475,0.321875,0.9280701754385965,217,0.11133004926108374
random_modality_dropout_10,0.1,武大人民医院,445,445,,,0.3715580725960139,0.5026958216914639,0.3448398599019373,0.6,,1.0,0.0,0.75,0.6,0.6,267,0,0,178,0.7795918367346939,0.415,54,0.6921348314606741
random_modality_dropout_10,0.1,荆州市第一人民医院,2030,185,0.5808071486120268,0.10880660996016753,0.426408253604887,0.5099599516529616,0.9391217163862884,0.14594594594594595,0.8878048780487805,0.11538461538461539,0.9120267260579065,0.1288782816229117,0.5168754119973632,0.11527093596059114,27,207,1638,158,0.06153846153846154,0.9511450381679389,61,0.04926108374384237
random_modality_dropout_10,0.1,襄阳市中心医院,2500,550,0.5779477855477856,0.3015433500375728,0.3314845915445783,0.3332469713287973,0.6416939397381147,0.49272727272727274,0.5974358974358974,0.2566287878787879,0.806786703601108,0.33748443337484435,0.5450815850815851,0.4224,271,785,1165,279,0.3770491803278688,0.8273348519362187,190,0.1976
random_modality_dropout_30,0.3,十堰市人民医院,2480,140,0.6382326007326008,0.11041889378067363,0.169210199200039,0.21999991118608053,0.8821881985017164,0.16428571428571428,0.9568376068376069,0.18548387096774194,0.950339558573854,0.17424242424242425,0.5605616605616606,0.05,23,101,2239,117,0.2,0.9536585365853658,16,0.04758064516129032
random_modality_dropout_30,0.3,恩施州中心医院,2030,650,0.6927603121516166,0.5478744544038905,0.2347901626294711,0.17215599171696955,0.8964351083780716,0.22923076923076924,0.9615942028985507,0.7376237623762376,0.725929978118162,0.34976525821596244,0.5954124860646599,0.09950738916256158,149,53,1327,501,0.265625,0.9315789473684211,235,0.09950738916256158
random_modality_dropout_30,0.3,武大人民医院,445,445,,,0.41606133893017033,0.5457928218879226,0.3448398599019373,0.5438202247191011,,1.0,0.0,0.7045123726346434,0.5438202247191011,0.5438202247191011,242,0,0,203,0.7673469387755102,0.46,57,0.6651685393258427
random_modality_dropout_30,0.3,荆州市第一人民医院,2030,185,0.5520149417710394,0.10497605274223328,0.3978818730379049,0.4649404683457783,0.9391217163862884,0.15135135135135136,0.8449864498644987,0.08917197452229299,0.9085081585081585,0.11222444889779559,0.498168900607925,0.15467980295566502,28,286,1559,157,0.1076923076923077,0.9007633587786259,58,0.09950738916256158
random_modality_dropout_30,0.3,襄阳市中心医院,2500,550,0.5660610722610722,0.28777487251322076,0.3305873006163411,0.3310446207770912,0.6416939397381147,0.4636363636363636,0.6215384615384615,0.256797583081571,0.8042468480424685,0.3305249513933895,0.5425874125874126,0.3972,255,738,1212,295,0.380327868852459,0.8209567198177676,189,0.2036
random_modality_dropout_50,0.5,十堰市人民医院,2480,140,0.5912362637362637,0.09649452630631787,0.17837431049818858,0.23258230034938016,0.8821881985017164,0.17857142857142858,0.9435897435897436,0.1592356687898089,0.9504950495049505,0.16835016835016836,0.5610805860805861,0.06330645161290323,25,132,2208,115,0.25,0.9394308943089431,15,0.062096774193548386
random_modality_dropout_50,0.5,恩施州中心医院,2030,650,0.6714303232998886,0.5150762943126997,0.2520986101533051,0.19581317563632578,0.8964351083780716,0.21846153846153846,0.9376811594202898,0.6228070175438597,0.7180910099889012,0.3234624145785877,0.5780713489409142,0.1123152709359606,142,86,1294,508,0.23125,0.9099415204678363,246,0.1123152709359606
random_modality_dropout_50,0.5,武大人民医院,445,445,,,0.4842870928308174,0.5956976852666421,0.3448398599019373,0.4696629213483146,,1.0,0.0,0.6391437308868502,0.4696629213483146,0.4696629213483146,209,0,0,236,0.6653061224489796,0.5,82,0.5910112359550562
random_modality_dropout_50,0.5,荆州市第一人民医院,2030,185,0.556781659708489,0.11766943354379901,0.3926236534716352,0.44032925610510804,0.9391217163862884,0.24864864864864866,0.7831978319783198,0.1031390134529148,0.9122474747474747,0.14580031695721077,0.5159232403134842,0.21970443349753693,46,400,1445,139,0.2153846153846154,0.8284987277353689,51,0.1729064039408867
random_modality_dropout_50,0.5,襄阳市中心医院,2500,550,0.5678867132867133,0.2754028726114291,0.34633581636488026,0.348911497527396,0.6416939397381147,0.4890909090909091,0.6025641025641025,0.25766283524904215,0.8070054945054945,0.33751568381430364,0.5458275058275058,0.4176,269,775,1175,281,0.419672131147541,0.7895216400911161,177,0.236
