condition,dropout_rate,dropout_repeat,dropout_seed,n,n_positive,auroc,auprc,brier,ece,threshold,sensitivity,specificity,ppv,npv,f1,balanced_accuracy,referral_rate,true_positive,false_positive,true_negative,false_negative,cin3_sensitivity,cin3_specificity,cin3_false_negatives,cin3_referral_rate
random_modality_dropout_10,0.1,1,202601,1897,394,0.6243984112992289,0.3034232846503652,0.28406930593658186,0.277623363457844,0.8821881985017164,0.2436548223350254,0.8922155688622755,0.37209302325581395,0.8181818181818182,0.294478527607362,0.5679351955986505,0.136004217185029,96,162,1341,298,0.3298429319371728,0.8939038686987104,128,0.12862414338429098
random_modality_dropout_10,0.1,2,202602,1897,394,0.6294129169748489,0.2996403998975672,0.2805334710101984,0.27004462250697736,0.8821881985017164,0.24111675126903553,0.8782435129740519,0.34172661870503596,0.8153180975911056,0.28273809523809523,0.5596801321215437,0.14654717975751186,95,183,1320,299,0.2774869109947644,0.8774912075029309,138,0.13811280969952558
random_modality_dropout_10,0.1,3,202603,1897,394,0.6334775457545148,0.3110471215590065,0.2811190856500069,0.27244051910073447,0.8821881985017164,0.24111675126903553,0.884896872920825,0.35447761194029853,0.8164518109269491,0.28700906344410876,0.5630068120949303,0.14127569847127042,95,173,1330,299,0.29842931937172773,0.8886283704572099,134,0.13020558777016342
random_modality_dropout_10,0.1,4,202604,1897,394,0.6391996041757433,0.31776276537426534,0.2773695113313955,0.27229543237773995,0.8821881985017164,0.23604060913705585,0.8908848968729208,0.36186770428015563,0.8164634146341463,0.2857142857142857,0.5634627530049884,0.13547706905640486,93,164,1339,301,0.2774869109947644,0.8909730363423212,138,0.12598840274117026
random_modality_dropout_10,0.1,5,202605,1897,394,0.6308837485772955,0.31583736779295984,0.27720537922832084,0.2686825555906827,0.8821881985017164,0.22842639593908629,0.8968729208250167,0.3673469387755102,0.8159806295399515,0.28169014084507044,0.5626496583820515,0.12915129151291513,90,155,1348,304,0.2879581151832461,0.8985932004689332,136,0.12018977332630469
random_modality_dropout_30,0.3,1,202601,1897,394,0.5923415436470545,0.2712848883207432,0.2933472184503953,0.28048807030135714,0.8821881985017164,0.22842639593908629,0.8789088489687292,0.33088235294117646,0.812923076923077,0.2702702702702703,0.5536676224539078,0.143384290985767,90,182,1321,304,0.31413612565445026,0.8821805392731535,131,0.13758566157090144
random_modality_dropout_30,0.3,2,202602,1897,394,0.5997370740751998,0.26869053810808197,0.2893923311573309,0.2800960101657876,0.8821881985017164,0.21065989847715735,0.865602129075183,0.2912280701754386,0.8070719602977667,0.24447717231222385,0.5381310137761701,0.15023721665788087,83,202,1301,311,0.225130890052356,0.8681125439624854,148,0.14127569847127042
random_modality_dropout_30,0.3,3,202603,1897,394,0.6168897399785876,0.29576654629211874,0.2825480190341732,0.2729179174272402,0.8821881985017164,0.24619289340101522,0.8815701929474384,0.3527272727272727,0.8168927250308261,0.28998505231689087,0.5638815431742268,0.14496573537163943,97,178,1325,297,0.29842931937172773,0.8774912075029309,134,0.14022140221402213
random_modality_dropout_30,0.3,4,202604,1897,394,0.6158951133266461,0.2926425269059518,0.2812790132935435,0.2716299259688518,0.8821881985017164,0.19796954314720813,0.8915502328675982,0.3236514522821577,0.8091787439613527,0.24566929133858267,0.5447598880074032,0.12704269899841855,78,163,1340,316,0.23036649214659685,0.8933177022274326,147,0.1191354770690564
random_modality_dropout_30,0.3,5,202605,1897,394,0.603502808258272,0.2774097479341152,0.28494689923780375,0.27660933325219955,0.8821881985017164,0.233502538071066,0.8729208250166334,0.3250883392226148,0.8128872366790583,0.2717872968980798,0.5532116815438497,0.14918292040063258,92,191,1312,302,0.2617801047120419,0.8704572098475967,141,0.14285714285714285
random_modality_dropout_50,0.5,1,202601,1897,394,0.5938377053000597,0.2725160586001191,0.2995758617401091,0.2934845335628257,0.8821881985017164,0.25380710659898476,0.8516300731869594,0.30959752321981426,0.8132147395171537,0.2789400278940028,0.5527185898929721,0.17026884554559832,100,223,1280,294,0.3193717277486911,0.85052754982415,130,0.1665788086452293
random_modality_dropout_50,0.5,2,202602,1897,394,0.5864987453181623,0.2561632889546715,0.3007350163273909,0.2896048642603001,0.8821881985017164,0.23857868020304568,0.8469727212242182,0.29012345679012347,0.8092816274634457,0.2618384401114206,0.5427757007136319,0.17079599367422246,94,230,1273,300,0.2617801047120419,0.8464243845252052,141,0.16447021613073273
random_modality_dropout_50,0.5,3,202603,1897,394,0.5955457950427402,0.2824755768519155,0.29521172382105865,0.2953696213368198,0.8821881985017164,0.25380710659898476,0.8602794411177644,0.3225806451612903,0.8147448015122873,0.2840909090909091,0.5570432738583746,0.16341591987348444,100,210,1293,294,0.2931937172774869,0.8587338804220399,135,0.1565629942013706
random_modality_dropout_50,0.5,4,202604,1897,394,0.597269082815756,0.26894481303451456,0.29724117503478215,0.290817044066523,0.8821881985017164,0.23096446700507614,0.8469727212242182,0.2834890965732087,0.807741116751269,0.2545454545454545,0.5389685941146471,0.16921454928835003,91,230,1273,303,0.2879581151832461,0.8511137162954279,136,0.1628887717448603
random_modality_dropout_50,0.5,5,202605,1897,394,0.5821529529772942,0.2556311052029854,0.300384237001831,0.29082215592575045,0.8821881985017164,0.22842639593908629,0.846307385229541,0.2803738317757009,0.8071065989847716,0.2517482517482518,0.5373668905843136,0.16921454928835003,90,231,1272,304,0.2513089005235602,0.8434935521688159,143,0.16605166051660517
